Valor_Total_Declarado,Idade_Posse,Municipio,Partido,UF_Nascimento,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Situacao
-0.4040121923064382,-0.5243086509107461,4,1,1,1,5,2,3,0,1,0
-0.19110283399624495,0.14022743219661257,4,1,1,0,5,0,3,1,0,1
0.3834864690001515,-1.3787121863344929,1,2,1,0,5,0,4,0,1,0
-0.3213289463607321,1.46929959841133,4,1,2,0,1,0,3,0,1,0
-0.4253720308424123,-1.5685796386508812,4,2,1,0,5,0,4,0,1,0
-0.29013669182771445,1.5642333245695241,2,1,1,0,5,1,3,0,1,0
-0.25209550842219414,0.04529370603841849,1,1,1,0,5,0,3,0,1,0
-0.21187424343190542,0.3300948845130008,1,2,1,0,7,1,4,0,1,0
-0.29376786437883007,1.0895646937785535,4,1,2,0,1,1,1,0,0,0
-0.39981601757469365,1.46929959841133,4,2,1,0,5,0,3,0,1,0
-0.1904138069466974,2.0389019553604943,4,2,2,0,3,2,3,0,1,0
-0.06062867189392067,-0.04964002011977561,1,2,1,0,7,1,3,0,1,0
-0.34967965334141565,-2.23311572175824,4,2,2,0,3,0,3,0,1,0
-0.2499457440276058,-1.3787121863344929,1,1,1,0,4,0,4,0,1,0
-0.36267056933358516,-1.283778460176299,1,1,1,0,5,0,1,0,1,0
0.422820267150623,-1.3787121863344929,0,1,1,0,7,1,3,0,1,0
0.8086754148972516,-0.9989772817017166,1,0,1,1,5,0,3,0,1,0
-0.32039738178974386,-1.7584470909672694,4,2,1,0,7,0,3,0,1,0
-0.09395002001004026,-1.5685796386508812,1,1,1,1,3,0,3,0,0,0
-0.279987323387879,-0.429374924752552,0,2,1,0,5,1,3,1,1,0
14.093116930174034,-1.283778460176299,0,2,1,0,7,0,1,0,1,0
-0.3392436496489684,0.8047635153039713,1,1,1,1,7,1,3,0,1,0
0.11964836534970055,1.3743658722531358,0,1,1,1,5,0,3,0,1,0
-0.2247342442846609,-0.6192423770689403,1,2,1,0,7,0,3,0,1,0
-0.3019741765389414,-0.2395074724361638,4,1,2,1,7,1,1,0,1,1
-0.3320088656287191,-0.9989772817017166,4,1,1,0,2,0,3,0,1,1
0.16615769119416024,0.3300948845130008,0,1,1,0,5,1,3,0,1,0
0.033564081887427745,-0.1445737462779697,4,0,2,0,6,1,3,0,1,1
-0.3213289463607321,0.7098297891457772,1,1,1,0,7,1,3,0,1,0
-0.3114620790112112,0.2351611583548067,2,1,2,0,5,1,3,0,1,0
-0.016517160181886464,0.04529370603841849,1,2,1,0,1,0,3,0,1,1
-0.30927372910184814,-1.8533808171254635,2,2,1,1,5,0,4,0,1,0
-0.18229982441122541,1.5642333245695241,4,2,1,0,1,0,3,0,1,0
0.907867748950117,0.42502861067119485,1,0,2,0,5,2,3,0,1,1
-0.34967965334141565,0.14022743219661257,4,2,2,0,5,0,3,0,1,0
0.25061173665720365,0.04529370603841849,1,2,2,0,3,0,3,0,1,0
-0.34199975784715864,1.3743658722531358,4,1,1,0,5,1,1,0,1,0
-0.2758531610905937,0.04529370603841849,4,1,2,0,5,1,3,0,1,1
-0.319950892261637,1.0895646937785535,4,1,1,0,2,1,5,0,1,0
0.24641556192545894,1.0895646937785535,0,2,1,0,3,0,1,0,1,0
-0.387475543117297,2.1338356815186885,1,1,1,0,5,0,4,0,1,0
-0.3218801680003701,-0.9040435555435224,1,1,1,0,5,1,3,0,1,1
0.6708700049877414,0.42502861067119485,4,2,2,0,5,1,4,0,1,0
