Nome_Completo,Valor_Total_Declarado
JULIANO CESAR SIMIONATO,22712.239999999998
JAIRO QUARESMA VILHENA,22664.940000000002
ISRAEL NAZARENO ATHAYDE DO AMARAL,22662.0
ADRIANA NEVES TORRES,22607.85
LILIAN PATRICIA GUSMAO DA CUNHA,22583.68
ANGELO CAMPELO KAHWAGE,22382.75
FLAVIO GOMES DE SOUZA,22358.32
CARLOS ALBERTO GONCALVES CUSTODIO,22343.5
DIEGO DA SILVA RODRIGUES,22270.5
AGATHA CRISTINA SANTOS CONCEIÇÃO,22254.35
CASSIO DE MENESES SILVA,22249.62
VALMIR OLIVEIRA PEREIRA,22100.449999999997
CÁSSIO BITAR VASCONCELOS,21947.25
CRISLEY DA SILVA MORAIS,21828.0
ADRIANA EMÍLIA DE REZENDE CARDOSO,21750.0
MILENE RISUENHO LAUANDE,21728.730000000007
MANOEL LUIZ RIBEIRO,21680.0
ANTÔNIO PEREIRA DO NASCIMENTO,21650.68
ELKMAR EVANDRO PROENÇA,21600.95
CARLOS EDUARDO CARDOSO MARTINS,21353.37
TASSIA CAMILA DE SOUZA PINHEIRO,21339.0
SARA QUEIROZ DE LIMA,21295.0
TAMARA LARYSSE REIS DE OLIVEIRA,21242.650000000005
MARCOS ROBERTO DOS SANTOS SILVA,21200.0
KATLEIN VITORIA PEREIRA BORGES,21179.0
AMANDA RODRIGUES DA COSTA LOPES,21000.0
MARCOS JOSÉ SOARES,20974.149999999998
JULIO CEZAR RODRIGUES PATRÍCIO,20970.0
RAIMUNDO FELEOL CARDOSO,20915.0
MERCES DE JESUS RIBEIRO COSTA,20609.5
EDER RIBEIRO DA SILVA,20562.7
ADEMIRSON ALVES BORGES,20540.0
IGOR BARATA MOREIRA DE CASTRO,20506.0
WANDSON MOACIR CORREA DE OLIVEIRA,20494.720000000005
PAMELA DA COSTA MASSOUD,20436.35
IRANDIR DE CASTRO DINIZ,20399.0
SILVANIA MARIA AMARAL DE CASTRO RODRIGUES,20252.000000000004
JULIENA NOBRE SOARES,20224.239999999998
FABIANO DE OLIVEIRA VITORIANO PEREIRA,20215.47
EDUARDO AUGUSTO BARROS KAHWAGE,20199.7
ANTONIA AUDERISA DE OLIVEIRA ALENCAR,20103.86
FRANCISCA CIZA SARAIVA PINHEIRO,20071.65
FABRICIA ROCHA LIMA,20009.6
JOSE NETO RIBEIRO DE CARVALHO,20000.88
ELENILSON JOSE SANTOS DA COSTA,20000.7
MAIKENN EMANOEL SANTOS DE SOUZA,20000.0
DANIEL MOREIRA RODRIGUES,20000.0
MARCO ANTONIO TRINDADE GAVINHO,20000.0
VALCINETE NUNES GARCIA,20000.0
HUGO DE ARAUJO FREIRES,20000.0
JAMIL DA SILVA CORREA,20000.0
FRANCISCO ELTON GOMES ANDRADE,20000.0
MONICA DO SOCORRO ROCHA DO NASCIMENTO,19999.8
JOSE MARCELO ALVES FIGUEIRA,19987.8
JORDANIO MORAIS DA SILVA,19950.0
AUGUSTO CESAR VIANA SOARES,19890.0
VANDICK JOSE DE OLIVEIRA LIMA,19740.0
PAULA CRISTINA TITAN REBELLO,19632.700000000004
GILSON DIAS CARDOSO,19588.68
EMANOEL DO LIVRAMENTO PIRES JUNIOR,19515.21
ANDERSON MARCOS MORATÓRIO,19500.0
LUCIMAR ROCHA ATAÍDE,19499.9
DAVINA KELEN RODRIGUES CURCINO DOS SANTOS,19483.7
FRANCISCO GOMES DE SOUSA,19470.76
MAISA SALES GAMA TOBIAS,19430.0
VANDERRAY LIMA DA SILVA,19380.0
CLEMILDA PEREIRA CAMPOS,19180.66
JOÃO NUNES RODRIGUES FILHO,19134.65
GILBERTO MARTINS DE BARROS,19080.54
VICTOR HUGO MOREIRA DA CUNHA JUNIOR,19075.6
ARTUR GUSTAVO ALVES GOMES,18999.999999999996
JOSENILDO RODRIGUES DE VILHENA,18994.27
JOSÉ BARREIRA BORGES,18986.8
KEILA DE SOUSA SILVA DOURADO,18964.0
PAULO ALBERTO SANTOS DE QUEIROZ,18920.0
AGNALDO CIRINO DE OLIVEIRA SANTOS,18751.850000000002
MARCELO SILVA SANTOS,18690.0
ANA CELIA ALEIXO DE SOUZA,18605.0
ANTONIA PEREIRA FARIAS,18562.059999999998
JEANNE DO SOCORRO VIDAL BICO NOGUEIRA,18550.0
MURILO JOSÉ TOLENTINO DE MATOS,18496.32
ALEXANDRE DA COSTA PESSOA,18364.85
JOSIMAR TOMAZ LIMA,18240.0
LEONIDAS DO NASCIMENTO MOREIRA,18229.340000000004
ISMARA FERREIRA CAMPOS,18094.02
DORGIVAL DA SILVA VIANA JUNIOR,18050.01
FRANCISCO CHAGAS SILVA,18000.0
JOSE EDINICIO GONÇALVES DA CUNHA,18000.0
WELLINGTON PROGENIO MAGALHÃES,18000.0
ANTONIO FERREIRA DE ARAUJO,18000.0
JOSÉ ILSON DE MELO TELES,17980.0
JOÃO ELIAS DA SILVA,17970.4
ELIABE LOPES DE SOUSA,17969.14
ELDILENE DA SILVA BARBOSA,17959.5
ALUISIO MONTEIRO CORRÊA,17943.010000000002
REGINA DE FATIMA DA SILVA RODRIGUES,17928.079999999998
PABLO RAFAELLO RAYMOND DA SILVA FARAH,17925.000000000004
CRISTILEY FERNANDES DA PENHA,17922.949999999997
FERNANDO HENRIQUE PEREIRA DA SILVA,17909.500000000007
LEANDRO ONOFRE TEIXEIRA,17898.88
ALESSANDRO POLASTRINI,17730.89
LUIZ DA COSTA LEAO,17684.9
MORIVALDO MARÇAS E SILVA,17456.300000000007
SILVANO OLIVEIRA DA SILVA,17283.0
VANDERLEI MACIEL PINHEIRO,17250.0
SOTERIO OLIVEIRA FAGUNDES,17156.45
DAVID VIANA DE ABREU,17144.55
RUI BEGOT DA ROCHA,17034.0
MARCOS PAULO DE ASSIS,17015.9
WESCLEY SILVA AGUIAR,16967.0
DENISE TEREZINHA GABRIEL,16954.68
